 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  3.000E+00  6.85233E-04  7.65757E-09  1.19837E-09  9.40276E-12  1.47531E-12
  3.100E+00  7.31665E-04  7.31188E-09  1.17905E-09  9.27943E-12  1.50005E-12
  3.200E+00  7.79618E-04  6.98619E-09  1.15987E-09  9.15400E-12  1.52340E-12
  3.300E+00  8.29092E-04  6.67927E-09  1.14086E-09  9.02723E-12  1.54541E-12
  3.400E+00  8.80086E-04  6.38995E-09  1.12204E-09  8.89979E-12  1.56613E-12
  3.500E+00  9.32601E-04  6.11710E-09  1.10343E-09  8.77224E-12  1.58562E-12
  3.600E+00  9.86636E-04  5.85967E-09  1.08504E-09  8.64504E-12  1.60391E-12
  3.700E+00  1.04219E-03  5.61668E-09  1.06689E-09  8.51859E-12  1.62106E-12
  3.800E+00  1.09927E-03  5.38718E-09  1.04899E-09  8.39321E-12  1.63712E-12
  3.900E+00  1.15786E-03  5.17031E-09  1.03135E-09  8.26917E-12  1.65213E-12
  4.000E+00  1.21797E-03  4.96525E-09  1.01399E-09  8.14668E-12  1.66614E-12
  4.100E+00  1.27961E-03  4.77125E-09  9.96901E-10  8.02592E-12  1.67919E-12
  4.200E+00  1.34276E-03  4.58760E-09  9.80096E-10  7.90704E-12  1.69133E-12
  4.300E+00  1.40743E-03  4.41364E-09  9.63579E-10  7.79014E-12  1.70261E-12
  4.400E+00  1.47362E-03  4.24875E-09  9.47353E-10  7.67529E-12  1.71305E-12
  4.500E+00  1.54133E-03  4.09236E-09  9.31420E-10  7.56258E-12  1.72271E-12
  4.600E+00  1.61056E-03  3.94394E-09  9.15781E-10  7.45202E-12  1.73162E-12
  4.700E+00  1.68131E-03  3.80299E-09  9.00437E-10  7.34366E-12  1.73981E-12
  4.800E+00  1.75357E-03  3.66905E-09  8.85387E-10  7.23751E-12  1.74733E-12
  4.900E+00  1.82735E-03  3.54170E-09  8.70630E-10  7.13356E-12  1.75419E-12
  5.000E+00  1.90265E-03  3.42053E-09  8.56164E-10  7.03180E-12  1.76045E-12
  5.100E+00  1.97947E-03  3.30517E-09  8.41988E-10  6.93223E-12  1.76612E-12
  5.200E+00  2.05780E-03  3.19528E-09  8.28098E-10  6.83481E-12  1.77124E-12
  5.300E+00  2.13765E-03  3.09053E-09  8.14491E-10  6.73953E-12  1.77584E-12
  5.400E+00  2.21902E-03  2.99062E-09  8.01164E-10  6.64634E-12  1.77994E-12
  5.500E+00  2.30190E-03  2.89528E-09  7.88112E-10  6.55521E-12  1.78356E-12
  5.600E+00  2.38630E-03  2.80423E-09  7.75333E-10  6.46611E-12  1.78674E-12
  5.700E+00  2.47222E-03  2.71725E-09  7.62821E-10  6.37899E-12  1.78950E-12
  5.800E+00  2.55965E-03  2.63409E-09  7.50572E-10  6.29381E-12  1.79185E-12
  5.900E+00  2.64859E-03  2.55454E-09  7.38581E-10  6.21053E-12  1.79382E-12
  6.000E+00  2.73905E-03  2.47842E-09  7.26844E-10  6.12910E-12  1.79543E-12
  6.100E+00  2.83103E-03  2.40552E-09  7.15356E-10  6.04948E-12  1.79670E-12
  6.200E+00  2.92452E-03  2.33568E-09  7.04113E-10  5.97163E-12  1.79765E-12
  6.300E+00  3.01952E-03  2.26874E-09  6.93108E-10  5.89549E-12  1.79829E-12
  6.400E+00  3.11604E-03  2.20453E-09  6.82337E-10  5.82104E-12  1.79864E-12
  6.500E+00  3.21407E-03  2.14293E-09  6.71795E-10  5.74821E-12  1.79871E-12
  6.600E+00  3.31362E-03  2.08378E-09  6.61478E-10  5.67698E-12  1.79853E-12
  6.700E+00  3.41468E-03  2.02698E-09  6.51380E-10  5.60729E-12  1.79809E-12
  6.800E+00  3.51725E-03  1.97239E-09  6.41496E-10  5.53910E-12  1.79743E-12
  6.900E+00  3.62133E-03  1.91991E-09  6.31822E-10  5.47238E-12  1.79654E-12
  7.000E+00  3.72692E-03  1.86943E-09  6.22353E-10  5.40708E-12  1.79545E-12
  7.100E+00  3.83403E-03  1.82086E-09  6.13084E-10  5.34317E-12  1.79416E-12
