 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  1.750E-01  2.33223E-06  2.05511E-08  1.94636E-09  1.46942E-12  1.40253E-13
  2.000E-01  3.04617E-06  2.05267E-08  1.94592E-09  1.67735E-12  1.60253E-13
  2.250E-01  3.85531E-06  2.04990E-08  1.94543E-09  1.88448E-12  1.80239E-13
  2.500E-01  4.75964E-06  2.04682E-08  1.94487E-09  2.09073E-12  2.00209E-13
  2.750E-01  5.75916E-06  2.04342E-08  1.94426E-09  2.29599E-12  2.20160E-13
  3.000E-01  6.85388E-06  2.03971E-08  1.94358E-09  2.50019E-12  2.40093E-13
  3.250E-01  8.04378E-06  2.03569E-08  1.94285E-09  2.70322E-12  2.60004E-13
  3.500E-01  9.32888E-06  2.03137E-08  1.94207E-09  2.90500E-12  2.79891E-13
  3.750E-01  1.07092E-05  2.02675E-08  1.94122E-09  3.10544E-12  2.99754E-13
  4.000E-01  1.21846E-05  2.02183E-08  1.94032E-09  3.30445E-12  3.19591E-13
  4.250E-01  1.37553E-05  2.01662E-08  1.93936E-09  3.50196E-12  3.39398E-13
  4.500E-01  1.54212E-05  2.01112E-08  1.93834E-09  3.69787E-12  3.59176E-13
  4.750E-01  1.71822E-05  2.00534E-08  1.93727E-09  3.89212E-12  3.78922E-13
  5.000E-01  1.90385E-05  1.99927E-08  1.93614E-09  4.08462E-12  3.98635E-13
  5.250E-01  2.09899E-05  1.99294E-08  1.93495E-09  4.27531E-12  4.18312E-13
  5.500E-01  2.30365E-05  1.98634E-08  1.93370E-09  4.46410E-12  4.37952E-13
  5.750E-01  2.51783E-05  1.97947E-08  1.93240E-09  4.65093E-12  4.57554E-13
  6.000E-01  2.74153E-05  1.97235E-08  1.93105E-09  4.83573E-12  4.77116E-13
  6.250E-01  2.97475E-05  1.96497E-08  1.92964E-09  5.01845E-12  4.96636E-13
  6.500E-01  3.21749E-05  1.95735E-08  1.92817E-09  5.19901E-12  5.16113E-13
  6.750E-01  3.46974E-05  1.94949E-08  1.92665E-09  5.37735E-12  5.35544E-13
  7.000E-01  3.73152E-05  1.94139E-08  1.92507E-09  5.55343E-12  5.54929E-13
  7.250E-01  4.00281E-05  1.93307E-08  1.92344E-09  5.72719E-12  5.74265E-13
  7.500E-01  4.28362E-05  1.92453E-08  1.92176E-09  5.89858E-12  5.93552E-13
  7.750E-01  4.57395E-05  1.91577E-08  1.92002E-09  6.06755E-12  6.12787E-13
  8.000E-01  4.87380E-05  1.90680E-08  1.91823E-09  6.23405E-12  6.31969E-13
  8.250E-01  5.18317E-05  1.89764E-08  1.91638E-09  6.39805E-12  6.51097E-13
  8.500E-01  5.50205E-05  1.88827E-08  1.91449E-09  6.55951E-12  6.70169E-13
  8.750E-01  5.83045E-05  1.87872E-08  1.91253E-09  6.71839E-12  6.89184E-13
  9.000E-01  6.16838E-05  1.86898E-08  1.91053E-09  6.87465E-12  7.08139E-13
  9.250E-01  6.51582E-05  1.85907E-08  1.90848E-09  7.02827E-12  7.27034E-13
  9.500E-01  6.87277E-05  1.84899E-08  1.90637E-09  7.17921E-12  7.45867E-13
  9.750E-01  7.23925E-05  1.83875E-08  1.90422E-09  7.32746E-12  7.64637E-13
  1.000E+00  7.61524E-05  1.82835E-08  1.90201E-09  7.47299E-12  7.83342E-13
  1.100E+00  9.21439E-05  1.78534E-08  1.89268E-09  8.02755E-12  8.57489E-13
  1.200E+00  1.09658E-04  1.74037E-08  1.88257E-09  8.53747E-12  9.30493E-13
  1.300E+00  1.28695E-04  1.69384E-08  1.87172E-09  9.00250E-12  1.00227E-12
  1.400E+00  1.49255E-04  1.64614E-08  1.86014E-09  9.42295E-12  1.07276E-12
  1.500E+00  1.71338E-04  1.59764E-08  1.84788E-09  9.79959E-12  1.14187E-12
  1.600E+00  1.94942E-04  1.54866E-08  1.83495E-09  1.01336E-11  1.20956E-12
  1.700E+00  2.20070E-04  1.49951E-08  1.82141E-09  1.04266E-11  1.27576E-12
  1.800E+00  2.46720E-04  1.45046E-08  1.80727E-09  1.06802E-11  1.34041E-12
  1.900E+00  2.74892E-04  1.40176E-08  1.79257E-09  1.08965E-11  1.40348E-12
  2.000E+00  3.04586E-04  1.35361E-08  1.77735E-09  1.10776E-11  1.46493E-12
  2.100E+00  3.35803E-04  1.30619E-08  1.76165E-09  1.12257E-11  1.52471E-12
  2.200E+00  3.68542E-04  1.25965E-08  1.74549E-09  1.13430E-11  1.58281E-12
  2.300E+00  4.02802E-04  1.21412E-08  1.72892E-09  1.14319E-11  1.63919E-12
  2.400E+00  4.38585E-04  1.16971E-08  1.71196E-09  1.14946E-11  1.69384E-12
  2.500E+00  4.75889E-04  1.12649E-08  1.69465E-09  1.15331E-11  1.74675E-12
