 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  8.750E-02  5.83057E-07  2.51725E-08  1.61398E-09  8.98369E-13  5.78566E-14
  9.000E-02  6.16850E-07  2.51698E-08  1.61395E-09  9.23938E-13  5.95086E-14
  9.250E-02  6.51596E-07  2.51670E-08  1.61392E-09  9.49498E-13  6.11604E-14
  9.500E-02  6.87293E-07  2.51641E-08  1.61389E-09  9.75049E-13  6.28122E-14
  9.750E-02  7.23942E-07  2.51612E-08  1.61386E-09  1.00059E-12  6.44639E-14
  1.000E-01  7.61543E-07  2.51582E-08  1.61382E-09  1.02613E-12  6.61154E-14
  1.250E-01  1.18991E-06  2.51239E-08  1.61345E-09  1.28091E-12  8.26252E-14
  1.500E-01  1.71347E-06  2.50821E-08  1.61299E-09  1.53454E-12  9.91221E-14
  1.750E-01  2.33223E-06  2.50328E-08  1.61245E-09  1.78679E-12  1.15604E-13
  2.000E-01  3.04617E-06  2.49762E-08  1.61182E-09  2.03744E-12  1.32068E-13
  2.250E-01  3.85531E-06  2.49123E-08  1.61111E-09  2.28627E-12  1.48511E-13
  2.500E-01  4.75964E-06  2.48412E-08  1.61032E-09  2.53307E-12  1.64932E-13
  2.750E-01  5.75916E-06  2.47631E-08  1.60945E-09  2.77763E-12  1.81327E-13
  3.000E-01  6.85388E-06  2.46780E-08  1.60850E-09  3.01976E-12  1.97695E-13
  3.250E-01  8.04378E-06  2.45861E-08  1.60746E-09  3.25925E-12  2.14032E-13
  3.500E-01  9.32888E-06  2.44875E-08  1.60634E-09  3.49591E-12  2.30337E-13
  3.750E-01  1.07092E-05  2.43824E-08  1.60515E-09  3.72958E-12  2.46607E-13
  4.000E-01  1.21846E-05  2.42709E-08  1.60387E-09  3.96007E-12  2.62839E-13
  4.250E-01  1.37553E-05  2.41532E-08  1.60251E-09  4.18721E-12  2.79031E-13
  4.500E-01  1.54212E-05  2.40295E-08  1.60108E-09  4.41086E-12  2.95181E-13
  4.750E-01  1.71822E-05  2.38999E-08  1.59956E-09  4.63085E-12  3.11287E-13
  5.000E-01  1.90385E-05  2.37646E-08  1.59797E-09  4.84706E-12  3.27346E-13
  5.250E-01  2.09899E-05  2.36239E-08  1.59630E-09  5.05934E-12  3.43356E-13
  5.500E-01  2.30365E-05  2.34779E-08  1.59455E-09  5.26758E-12  3.59314E-13
  5.750E-01  2.51783E-05  2.33268E-08  1.59273E-09  5.47165E-12  3.75220E-13
  6.000E-01  2.74153E-05  2.31709E-08  1.59083E-09  5.67147E-12  3.91069E-13
  6.250E-01  2.97475E-05  2.30103E-08  1.58885E-09  5.86692E-12  4.06861E-13
  6.500E-01  3.21749E-05  2.28453E-08  1.58680E-09  6.05793E-12  4.22592E-13
  6.750E-01  3.46974E-05  2.26760E-08  1.58468E-09  6.24443E-12  4.38262E-13
  7.000E-01  3.73152E-05  2.25028E-08  1.58249E-09  6.42633E-12  4.53868E-13
  7.250E-01  4.00281E-05  2.23257E-08  1.58022E-09  6.60359E-12  4.69408E-13
  7.500E-01  4.28362E-05  2.21451E-08  1.57788E-09  6.77617E-12  4.84879E-13
  7.750E-01  4.57395E-05  2.19612E-08  1.57547E-09  6.94401E-12  5.00281E-13
  8.000E-01  4.87380E-05  2.17742E-08  1.57300E-09  7.10709E-12  5.15611E-13
  8.250E-01  5.18317E-05  2.15842E-08  1.57045E-09  7.26539E-12  5.30868E-13
  8.500E-01  5.50205E-05  2.13916E-08  1.56784E-09  7.41890E-12  5.46049E-13
  8.750E-01  5.83045E-05  2.11966E-08  1.56515E-09  7.56761E-12  5.61153E-13
  9.000E-01  6.16838E-05  2.09992E-08  1.56241E-09  7.71153E-12  5.76178E-13
  9.250E-01  6.51582E-05  2.07999E-08  1.55959E-09  7.85066E-12  5.91123E-13
  9.500E-01  6.87277E-05  2.05988E-08  1.55672E-09  7.98504E-12  6.05985E-13
  9.750E-01  7.23925E-05  2.03960E-08  1.55378E-09  8.11468E-12  6.20764E-13
  1.000E+00  7.61524E-05  2.01918E-08  1.55078E-09  8.23962E-12  6.35457E-13
  1.100E+00  9.21439E-05  1.93650E-08  1.53816E-09  8.69323E-12  6.93348E-13
  1.200E+00  1.09658E-04  1.85307E-08  1.52464E-09  9.07581E-12  7.49762E-13
  1.300E+00  1.28695E-04  1.76993E-08  1.51026E-09  9.39197E-12  8.04623E-13
  1.400E+00  1.49255E-04  1.68797E-08  1.49509E-09  9.64712E-12  8.57864E-13
  1.500E+00  1.71338E-04  1.60790E-08  1.47922E-09  9.84709E-12  9.09432E-13
  1.600E+00  1.94942E-04  1.53029E-08  1.46270E-09  9.99780E-12  9.59284E-13
  1.700E+00  2.20070E-04  1.45553E-08  1.44559E-09  1.01050E-11  1.00739E-12
  1.800E+00  2.46720E-04  1.38388E-08  1.42798E-09  1.01742E-11  1.05372E-12
  1.900E+00  2.74892E-04  1.31551E-08  1.40993E-09  1.02104E-11  1.09827E-12
  2.000E+00  3.04586E-04  1.25047E-08  1.39149E-09  1.02180E-11  1.14104E-12
  2.100E+00  3.35803E-04  1.18875E-08  1.37272E-09  1.02009E-11  1.18203E-12
  2.200E+00  3.68542E-04  1.13029E-08  1.35370E-09  1.01628E-11  1.22125E-12
  2.300E+00  4.02802E-04  1.07499E-08  1.33446E-09  1.01067E-11  1.25872E-12
  2.400E+00  4.38585E-04  1.02273E-08  1.31507E-09  1.00352E-11  1.29447E-12
  2.500E+00  4.75889E-04  9.73387E-09  1.29558E-09  9.95074E-12  1.32853E-12
  2.600E+00  5.14715E-04  9.26827E-09  1.27601E-09  9.85555E-12  1.36093E-12
  2.700E+00  5.55063E-04  8.82916E-09  1.25643E-09  9.75154E-12  1.39171E-12
  2.800E+00  5.96931E-04  8.41524E-09  1.23687E-09  9.64043E-12  1.42092E-12
  2.900E+00  6.40321E-04  8.02520E-09  1.21736E-09  9.52378E-12  1.44859E-12
  3.000E+00  6.85233E-04  7.65777E-09  1.19794E-09  9.40297E-12  1.47478E-12
  3.100E+00  7.31665E-04  7.31170E-09  1.17864E-09  9.27917E-12  1.49952E-12
  3.200E+00  7.79618E-04  6.98577E-09  1.15948E-09  9.15339E-12  1.52288E-12
  3.300E+00  8.29092E-04  6.67874E-09  1.14048E-09  9.02647E-12  1.54490E-12
  3.400E+00  8.80086E-04  6.38944E-09  1.12168E-09  8.89905E-12  1.56563E-12
  3.500E+00  9.32601E-04  6.11672E-09  1.10308E-09  8.77169E-12  1.58512E-12
  3.600E+00  9.86636E-04  5.85949E-09  1.08471E-09  8.64478E-12  1.60342E-12
  3.700E+00  1.04219E-03  5.61670E-09  1.06657E-09  8.51865E-12  1.62058E-12
  3.800E+00  1.09927E-03  5.38738E-09  1.04869E-09  8.39356E-12  1.63664E-12
  3.900E+00  1.15786E-03  5.17063E-09  1.03106E-09  8.26972E-12  1.65166E-12
  4.000E+00  1.21797E-03  4.96562E-09  1.01371E-09  8.14732E-12  1.66568E-12
  4.100E+00  1.27961E-03  4.77161E-09  9.96632E-10  8.02653E-12  1.67874E-12
  4.200E+00  1.34276E-03  4.58788E-09  9.79837E-10  7.90752E-12  1.69089E-12
  4.300E+00  1.40743E-03  4.41381E-09  9.63330E-10  7.79042E-12  1.70217E-12
  4.400E+00  1.47362E-03  4.24881E-09  9.47113E-10  7.67537E-12  1.71262E-12
  4.500E+00  1.54133E-03  4.09232E-09  9.31189E-10  7.56247E-12  1.72229E-12
  4.600E+00  1.61056E-03  3.94383E-09  9.15558E-10  7.45179E-12  1.73120E-12
  4.700E+00  1.68131E-03  3.80286E-09  9.00222E-10  7.34339E-12  1.73940E-12
  4.800E+00  1.75357E-03  3.66894E-09  8.85180E-10  7.23727E-12  1.74692E-12
  4.900E+00  1.82735E-03  3.54163E-09  8.70430E-10  7.13341E-12  1.75379E-12
  5.000E+00  1.90265E-03  3.42052E-09  8.55971E-10  7.03180E-12  1.76005E-12
  5.100E+00  1.97947E-03  3.30523E-09  8.41802E-10  6.93237E-12  1.76573E-12
  5.200E+00  2.05780E-03  3.19539E-09  8.27918E-10  6.83508E-12  1.77086E-12
  5.300E+00  2.13765E-03  3.09067E-09  8.14317E-10  6.73987E-12  1.77546E-12
  5.400E+00  2.21902E-03  2.99078E-09  8.00995E-10  6.64670E-12  1.77956E-12
  5.500E+00  2.30190E-03  2.89542E-09  7.87949E-10  6.55554E-12  1.78319E-12
