 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  14,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  6.000E-01  2.74153E-05  5.21388E-08  6.03439E-09  1.27751E-11  1.50332E-12
  6.250E-01  2.97475E-05  5.15907E-08  6.02351E-09  1.31679E-11  1.56318E-12
  6.500E-01  3.21749E-05  5.10313E-08  6.01223E-09  1.35466E-11  1.62272E-12
  6.750E-01  3.46974E-05  5.04617E-08  6.00057E-09  1.39110E-11  1.68192E-12
  7.000E-01  3.73152E-05  4.98826E-08  5.98854E-09  1.42612E-11  1.74078E-12
  7.250E-01  4.00281E-05  4.92952E-08  5.97613E-09  1.45971E-11  1.79929E-12
  7.500E-01  4.28362E-05  4.87004E-08  5.96337E-09  1.49188E-11  1.85743E-12
  7.750E-01  4.57395E-05  4.80991E-08  5.95024E-09  1.52264E-11  1.91519E-12
  8.000E-01  4.87380E-05  4.74922E-08  5.93677E-09  1.55198E-11  1.97258E-12
  8.250E-01  5.18317E-05  4.68806E-08  5.92296E-09  1.57994E-11  2.02957E-12
  8.500E-01  5.50205E-05  4.62651E-08  5.90881E-09  1.60651E-11  2.08617E-12
  8.750E-01  5.83045E-05  4.56466E-08  5.89434E-09  1.63172E-11  2.14237E-12
  9.000E-01  6.16838E-05  4.50258E-08  5.87954E-09  1.65559E-11  2.19815E-12
  9.250E-01  6.51582E-05  4.44035E-08  5.86444E-09  1.67814E-11  2.25351E-12
  9.500E-01  6.87277E-05  4.37804E-08  5.84903E-09  1.69939E-11  2.30844E-12
  9.750E-01  7.23925E-05  4.31573E-08  5.83332E-09  1.71938E-11  2.36295E-12
  1.000E+00  7.61524E-05  4.25348E-08  5.81732E-09  1.73811E-11  2.41701E-12
  1.100E+00  9.21439E-05  4.00628E-08  5.75059E-09  1.80119E-11  2.62878E-12
  1.200E+00  1.09658E-04  3.76451E-08  5.67985E-09  1.84679E-11  2.83314E-12
